,Link,Tweet,Tanggal,Like,Comment
45,https://twitter.com/undipmenfess/status/1757948201272029563#m,"-dips! Buat pendukung 02 mau nanya, kalo nanti Pak Prabowo anti kritik dan otoriter, kalian bakal diem aja atau tanggung jawab sama suara kalian?  Diskusi ya, kalo ga diskusi cuman komen gajelas mending diem, lu udah mahasiswa.","Feb 15, 2024 · 2:01 AM UTC",5761,425
46,https://twitter.com/YonarizalHervan/status/1750421362697777309#m,"balik lagi, itu tergantung mas mau percaya yg mana.. but for me, seeing is believing.. melihat beliau yg 2019 ke 2024, mohon maaf sekali perbedaannya terlihat jelas. Beliau jalannya susah, cara berbicaranya sudah meracau tidak seperti dulu.. sama seperti kondisi closest family saya yg yerkena stroke","Jan 25, 2024 · 7:32 AM UTC",93,3
47,https://twitter.com/AdhityaBudi2/status/1758056730037235846#m,Jangan lupa janjinya pak @prabowo @gibran_tweet @Dahnilanzar @andre_rosiade @Gerindra @Uki23,"Feb 15, 2024 · 9:12 AM UTC",0,0
48,https://twitter.com/utdfocusid/status/1757937871485546900#m,"Yang menang secara formal memang Prabowo-Gibran, tapi yang menang secara simbolik adalah Joko Widodo.   jokowi is indeed the real king; he's the most powerful man in the country. 👑","Feb 15, 2024 · 1:20 AM UTC",14047,519
49,https://twitter.com/rararenny/status/1758056725867798667#m,"Di kira pak Ganjar kalau bekingan ya Bu Mega bakal menang 100% Di kira pak Anis kalau ungkit kesalahan di THN lalu, dia bakal menang  Ya emng pak Prabowo g bisa berbicara apa apa saat itu, tapi saya yakin itu adalah hal pribadi yang memang tidak bisa di bicarakan di umum","Feb 15, 2024 · 9:12 AM UTC",0,0
50,https://twitter.com/krucilscake/status/1758056724483969050#m,Mana ada sedih sedih🤣 bodo amat akhirat yg penting Prabroro Presiden,"Feb 15, 2024 · 9:12 AM UTC",0,0
51,https://twitter.com/yorletsennav/status/1758056724140110087#m,wis kembali setelan awal neh paijo paijan dan harus mengakui bahwa kemenangan milik Prabowo-Gibran✌️‼️,"Feb 15, 2024 · 9:12 AM UTC",0,0
52,https://twitter.com/alfabloodtype/status/1758056718771359894#m,"Well, Good news then. Let's Go!  Efek Prabowo-Gibran, 7 Saham Ini Meroket dan Bikin IHSG Cetak Rekor https://cnbc.id/NbKliZ","Feb 15, 2024 · 9:12 AM UTC",0,0
53,https://twitter.com/pandji/status/1757986895995486523#m,Nuduh2 curang jadi kayak Prabowo 2019.  Waktu itu pada nyinyir & suruh legowo aja.   Table have turned,"Feb 15, 2024 · 4:35 AM UTC",6444,406
54,https://twitter.com/antaranews/status/1757998169080709215#m,"Presiden Jokowi mengaku bertemu dengan pasangan Prabowo Subianto-Gibran Rakabuming Raka pada Rabu malam, setelah pelaksanaan pemungutan suara usai.  ""Ketemu, ketemu langsung sudah. Semalam,""  https://m.antaranews.com/berita/3965562/jokowi-akui-bertemu-prabowo-gibran-pada-rabu-malam-setelah-pencoblosan?utm_source=antaranews&utm_medium=mobile&utm_campaign=latest_category","Feb 15, 2024 · 5:20 AM UTC",3,1
55,https://twitter.com/dayatpiliang/status/1757714198812111155#m,"kalau ada pendukung 01 dan 03 enggak percaya quick count, pendukung 02 jangan nyinyir, ya. soalnya pak prabowo tahun 2019 juga begitu kok 😀","Feb 14, 2024 · 10:31 AM UTC",23134,446
56,https://twitter.com/Levinvolka/status/1758008612931490059#m,"Saya masuk team Sukses AMIN di daerah saya karna emang uang nya lumayan. Saya bantu pasang baliho sana sini, jadi buzzer dadakan juga disosmed tapi pas nyoblos saya tetep pilih Prabowo 😂😂 Dosa gak ya?","Feb 15, 2024 · 6:01 AM UTC",32,13
57,https://twitter.com/virless_/status/1757804218696843366#m,"Pov 02 : ""semakin dibenci barat artinya Prabowo semakin ditakuti"" azekkkk😎 sini cium dulu","Feb 14, 2024 · 4:29 PM UTC",1645,27
58,https://twitter.com/kangmas1905/status/1758056709590069294#m,"gelora nggak masuk senayan tak pa. yang penting ada yg jadi mentri.   prabowo masih ingat nggak ya dengan janjinya sewaktu kampanye HP-Don. Jika beliau jadi presiden di 2014, @anismatta mo dijadikan mentri agama","Feb 15, 2024 · 9:12 AM UTC",0,0
59,https://twitter.com/Lisaamartatara6/status/1757769043598295248#m,"Gw skrg tau permainan nya Prabowo  2019 data C1 sama Hitungan KPU beda jauh, sehingga skrg dia mau mainkan itu di 2024...  Banyak sekali Data di sirekap KPU gak sesuai dengan C1 yg di upload Permainan Curang!","Feb 14, 2024 · 2:09 PM UTC",2301,61
