,Link,Tweet,Tanggal,Like,Comment
25,https://twitter.com/el_sulfat/status/1755531697045803056#m,"Kata Bambang Pacul, pilpres kali ini berat krn kalah komandan.  Komandan pemenangan Ganjar di Jawa Tengah yg ngomong apa adanya.","Feb 8, 2024 · 9:59 AM UTC",110,1
26,https://twitter.com/VIVAcoid/status/1758055339591954649#m,"Real Count 51,25% KPU di DKI: Prabowo-Gibran 41,37%, AMIN 40,67%, Ganjar-Mahfud 17,96% dlvr.it/T2mrZw","Feb 15, 2024 · 9:07 AM UTC",22,6
27,https://twitter.com/yaniarsim/status/1757993621054427230#m,TPN Ganjar-Mahfud akan bekerjasama dengan TIMNAS AMIN untuk mengusut kecurangan pemilu. Tetap waspada @tomlembong dkk.  Banteng tetaplah binatang buas.  Negri para bedebah Real Count,"Feb 15, 2024 · 5:01 AM UTC",1018,39
28,https://twitter.com/Penyuka_ombak/status/1757757644998369514#m,"*BUKTI TEMUAN OLEH PAKAR AHLI DIBIDANGNYA YANG DIDUGA KECURANGAN OLEH APLIKASI SI REKAP, KPU*  *Sudah diperingatkan jauh sebelum pencoblosan Pilpres 2024... Setiap kali hasil suara C1 discan, suara Anies tetap, Suara Prabowo naik, dan suara Ganjar turun. Yang ngomong bukan saya. Clear.*  *Ada Penggembungan Suara Di suara paalon 02 dan yabg di Rugikan Penurunan Paslon 03, Dari Penyebab Aplikasi SI REKAPITULASI Yang Di Buat Oleh KPU.*  *Artinya Itu Sudah Di Rekayasa Bentuk KECURANGAN MASIF Dan TERSTRUKTUR CRIME ORDINARI MASIF OLEH PIHAK KPU !!!*  Mohon Atensinya @bawaslu_RI","Feb 14, 2024 · 1:24 PM UTC",1402,88
29,https://twitter.com/ivyclover13/status/1757998995677593899#m,"Gini ya. Pilihan tuh kayak misalnya bubur diaduk atau ga diaduk, mi goreng atau mi rebus.   Contoh yang bukan pilihan: • Israel/Palestina, lu pilih Israel berarti lu mendukung genosida. • Anies/Prabowo/Ganjar, lu pilih Prabowo berarti lu mendukung kejahatan HAM dan nepotisme.","Feb 15, 2024 · 5:23 AM UTC",1276,10
30,https://twitter.com/kurawa/status/1757980892713390108#m,"Business Plan paslon Pilpres yang belum beruntung :  Anies : nyagub lagi di DKI 2024, diusulkan jadi ketum PKS  Imin : dikudeta dari ketum PKB, jualan sarung merk Slepet  Ganjar : jadi influencer jualan Jaket merk sat set Mahfud : jadi Dosen dan dampingi karni ilyas di ILC","Feb 15, 2024 · 4:11 AM UTC",842,254
31,https://twitter.com/pengwinningg/status/1757643766524182807#m,Ok review visual capres td di kertas kertasannye  Anies: okokla cute smile  Prabowo: uhhh….BPJS KESEHATAN….ASURANSI KESEHATAN PRUDENTIAL  Ganjar: ░M░Y░ ░P░U░S░S░Y░ ░I░N░ ░B░I░O░,"Feb 14, 2024 · 5:51 AM UTC",16091,92
32,https://twitter.com/nyalasore/status/1757700723285131582#m,"despite of everything, thank you, tim 01 dan 03.  tidak berusaha mengultuskan paslon tertentu, because at the end of the day they're still politicians. tapi buatku, usaha pak anies, cak imin, pak ganjar dan prof mahfud— gagasan, gerakan, gebrakan mereka... pantas diapresiasi.","Feb 14, 2024 · 9:38 AM UTC",209,1
33,https://twitter.com/dhorison/status/1758057725437919337#m,"Benar kata pengamat2 politik itu. Ganjar suaranya merosot salah satunya karena ulah buzzernya. Elite PDIP sdh ngerem utk kritik jokowi, tapi tidak begitu dengan buzzernya. 😊","Feb 15, 2024 · 9:16 AM UTC",0,0
34,https://twitter.com/sasukabacerita_/status/1758057720652173720#m,Jujur bagusan feed ganjar,"Feb 15, 2024 · 9:16 AM UTC",0,0
35,https://twitter.com/cappimpong/status/1757863487957606462#m,PDIP menang jauh tp calonnya hancur lebur. ga nyangka PDIP tega gembosin ganjar-mahfud.,"Feb 14, 2024 · 8:24 PM UTC",10,2
36,https://twitter.com/marufsirojudin1/status/1758043478267945113#m,Maafkan saya pak.... Saya relawan yg gagal membantu kemenangan bapak dan juga kemenangan demokrasi Indonesia 🙏🙏🙏🙏🙏,"Feb 15, 2024 · 8:20 AM UTC",24,0
37,https://twitter.com/Fauuzayn/status/1757766704879517731#m,"TOLONG RAMEIN!!! Ini masuk kecurangan ga? Prabowo di web 161, tapi di kertas perhitungan suara 111 Ganjar juga suaranya kurang 1 HALOO @KPU_ID @bawaslu_RI","Feb 14, 2024 · 2:00 PM UTC",3976,124
38,https://twitter.com/MartoArt/status/1758057651638788239#m,"Kalo golput pada nyoblos, pasti Ganjar menang. 🤣","Feb 15, 2024 · 9:16 AM UTC",0,0
39,https://twitter.com/kumparan/status/1757737698058756211#m,"Eks Gubernur Jawa Barat Ridwan Kamil berbicara hasil quick count lembaga survei di Pilpres 2024. Sejauh ini, paslon 02 Prabowo-Gibran unggul dari paslon 01 Anies-Muhaimin dan paslon 03 Ganjar-Mahfud.  Ridwan Kamil mengatakan, paslon 02 menang berkat pergerakan silent majority. Eks Wali Kota Bandung ini kemudian membeberkan kategori kelompok masyarakat selama Pemilu 2024. Salah satunya adalah mereka yang menyimak namun jarang komen-komen, dan jarang ribut-ribut di medsos tiap akun ini posting politik.  #pemilupedia #focus #pilpres2024 #news #oneliner #capres2024 #pemilu2024 #kumparan","Feb 14, 2024 · 12:04 PM UTC",5850,651
40,https://twitter.com/kagisu0619/status/1758057613361856939#m,Aku jadi pengen up gambar pak anies (01) ngecomfort pak ganjar (03).....,"Feb 15, 2024 · 9:16 AM UTC",0,1
41,https://twitter.com/PDI_Perjuangan/status/1758037347818729600#m,"Megawati Soekarnoputri, Ketua Umum PDI Perjuangan, bersama TPN Ganjar-Mahfud menggelar rapat bersama dalam menyikapi proses dan hasil Pemilu 2024.  Sekretaris Jenderal PDI Perjuangan, Hasto Kristiyanto, menegaskan bahwa partai menganggap ada permasalahan serius dan fundamental yang perlu diselesaikan terkait proses dan hasil pemilu guna memastikan kedaulatan rakyat.  #PDIPerjuangan #M3nangkanRakyat #KebenaranPastiMenang #SatyamEvaJayate #GanjarMahfud2024 #Pemilu2024 #JagaKawalSuaramu","Feb 15, 2024 · 7:55 AM UTC",431,86
42,https://twitter.com/rizsetiawibawa/status/1758057608454570284#m,"Pak anies itu sama seperti pak ganjar kurang dapat support maksimal dari partai pendukung hanya mengandalkan relawan. Bandingkan sama pak prabowo, dari mulai partai pendukung, relawan jokowi, relawan prabowo kompak turun habis2an dukung beliau","Feb 15, 2024 · 9:16 AM UTC",0,0
